figure_asset_id,path,title,domain,metric_id,recommended_use,checksum_sha256,path_exists,qa_status,run_id
figure_d2_site_GA_001,Output/figures/dashboards/D2_site_GA_001_slide_data.png,D2 site GA 001 slide data,site_dashboard,,review_or_reporting,a445376c1e1606e2c54ef78e3b267992f78cc6f3126cc93583e42143b891abca,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_002,Output/figures/dashboards/D2_site_GA_002_slide_data.png,D2 site GA 002 slide data,site_dashboard,,review_or_reporting,f316dac4841d3578e2716f179680a8ea65628c8f81a5fb0a5e2d8d0d95446a93,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_003,Output/figures/dashboards/D2_site_GA_003_slide_data.png,D2 site GA 003 slide data,site_dashboard,,review_or_reporting,fb73b93b11cce4b3b0f2cbf49e7e5efc0b7d9317f005eb70de5a3ad6c2b50239,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_004,Output/figures/dashboards/D2_site_GA_004_slide_data.png,D2 site GA 004 slide data,site_dashboard,,review_or_reporting,9e4320399d3c03ed1d87d75c7bb89638f51055be87e37d87fef873ef099794da,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_005,Output/figures/dashboards/D2_site_GA_005_slide_data.png,D2 site GA 005 slide data,site_dashboard,,review_or_reporting,636fc0f019dd534d3ce8c46a28c9ef921807820bfe4048e0eaf7c2d8a03e835c,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_006,Output/figures/dashboards/D2_site_GA_006_slide_data.png,D2 site GA 006 slide data,site_dashboard,,review_or_reporting,037592a8be065623c73200e386b5743d49d2cc99e393d61e8fb076ee53810351,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_007,Output/figures/dashboards/D2_site_GA_007_slide_data.png,D2 site GA 007 slide data,site_dashboard,,review_or_reporting,2ce213547b202a57951379aa9379eeca15c3b2edcc0616d8f01086d2142f1443,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_008,Output/figures/dashboards/D2_site_GA_008_slide_data.png,D2 site GA 008 slide data,site_dashboard,,review_or_reporting,44f37c1d50d640e717a95d66ed3daa56f846b0272900b201e0a66ef38afb1d16,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_009,Output/figures/dashboards/D2_site_GA_009_slide_data.png,D2 site GA 009 slide data,site_dashboard,,review_or_reporting,80aebeed6c96921a9384f1a50760ce03b1e131196229d16aa5d414909650e9df,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_010,Output/figures/dashboards/D2_site_GA_010_slide_data.png,D2 site GA 010 slide data,site_dashboard,,review_or_reporting,6626999c860d4330212dbb2c5c90a0a7e892842521dcb243958ba32fed6702c4,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_013,Output/figures/dashboards/D2_site_GA_013_slide_data.png,D2 site GA 013 slide data,site_dashboard,,review_or_reporting,ced3ba981861f06b4bc93908241f26af7674cee84ee92972eeacab7541daacac,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_016,Output/figures/dashboards/D2_site_GA_016_slide_data.png,D2 site GA 016 slide data,site_dashboard,,review_or_reporting,739f210792cf10b41b041acf14f2c631e3b70779ac002e10d2234e0d705549ef,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_017,Output/figures/dashboards/D2_site_GA_017_slide_data.png,D2 site GA 017 slide data,site_dashboard,,review_or_reporting,5baa8719c368bb32d48cdc824ba71cd708591d33b116c341d9d3db60962826ac,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_018,Output/figures/dashboards/D2_site_GA_018_slide_data.png,D2 site GA 018 slide data,site_dashboard,,review_or_reporting,d164278f7edbd1a95c3ef925258d55207030bfce2d8217534769761a9689e5d7,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_019,Output/figures/dashboards/D2_site_GA_019_slide_data.png,D2 site GA 019 slide data,site_dashboard,,review_or_reporting,5db82d4a336a203abcbb74989de69b46f02d4e7489208992f0ede8f5bb2200c6,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_020,Output/figures/dashboards/D2_site_GA_020_slide_data.png,D2 site GA 020 slide data,site_dashboard,,review_or_reporting,4c635f6c4777c3c9101d2f4bafd9874930b04b0b27eeec714c00b4d815f0ce6a,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_022,Output/figures/dashboards/D2_site_GA_022_slide_data.png,D2 site GA 022 slide data,site_dashboard,,review_or_reporting,d086c05c84472595d8a7b20387eb118634413113cb486a9acec5434a7fdfa313,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_024,Output/figures/dashboards/D2_site_GA_024_slide_data.png,D2 site GA 024 slide data,site_dashboard,,review_or_reporting,6ab87638e2400cf95c439ece040239ddc1f46ebcc56883a02fc86469052ae2b1,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_025,Output/figures/dashboards/D2_site_GA_025_slide_data.png,D2 site GA 025 slide data,site_dashboard,,review_or_reporting,9c6691f328e195c8ee2de35ad5508c671e7710c849105c0a9026a4bd46a916b9,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_026,Output/figures/dashboards/D2_site_GA_026_slide_data.png,D2 site GA 026 slide data,site_dashboard,,review_or_reporting,125fdc404611c7adf7167c41a107a8d350e4211eb6ce7dc316de7fe4394cf300,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_027,Output/figures/dashboards/D2_site_GA_027_slide_data.png,D2 site GA 027 slide data,site_dashboard,,review_or_reporting,e8e4cbe232297bb05e02faeb3b8736f9d32a60747fd7053a7e24905375c0cfb7,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_028,Output/figures/dashboards/D2_site_GA_028_slide_data.png,D2 site GA 028 slide data,site_dashboard,,review_or_reporting,d79c09766a3bfd62c0c8e502d9c6c030994f2286884ed89fe85ebda6e006057b,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_031,Output/figures/dashboards/D2_site_GA_031_slide_data.png,D2 site GA 031 slide data,site_dashboard,,review_or_reporting,2671375449b1543f671dcaa7505f1062acd3b7a0186d2a869f143e6d7823ef65,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_032,Output/figures/dashboards/D2_site_GA_032_slide_data.png,D2 site GA 032 slide data,site_dashboard,,review_or_reporting,819216d2f9eb7b8361aeee5276af9c693a65873a70028e2a732f1c47cd44fede,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_033,Output/figures/dashboards/D2_site_GA_033_slide_data.png,D2 site GA 033 slide data,site_dashboard,,review_or_reporting,d69316d0211cd917693fb7e9081a564961b8b56c187d29a0b43e2d72bcdf6112,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_034,Output/figures/dashboards/D2_site_GA_034_slide_data.png,D2 site GA 034 slide data,site_dashboard,,review_or_reporting,5c57d35d34ddfdf0a9fb2457866a8e318309956c60fb185778983b6d1f192172,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_035,Output/figures/dashboards/D2_site_GA_035_slide_data.png,D2 site GA 035 slide data,site_dashboard,,review_or_reporting,0ddcc14ae6ce56781d252b381973c0867d3f188650f2dd1331ece626c16c132f,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_036,Output/figures/dashboards/D2_site_GA_036_slide_data.png,D2 site GA 036 slide data,site_dashboard,,review_or_reporting,582fee3f47f2733b484df3ccc2707a1b07e5399f64c783f5d56a696a41e8c562,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_037,Output/figures/dashboards/D2_site_GA_037_slide_data.png,D2 site GA 037 slide data,site_dashboard,,review_or_reporting,c6c9b1cdd2c89b7b86d4c09185060f494e923d548c280f1cdfe1e6e1a445df29,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_038,Output/figures/dashboards/D2_site_GA_038_slide_data.png,D2 site GA 038 slide data,site_dashboard,,review_or_reporting,753b0bdd40e2f34bbf8d1a3013be3433ddf5c2ec2e4ae0056ec6bc8dbbf140c4,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_039,Output/figures/dashboards/D2_site_GA_039_slide_data.png,D2 site GA 039 slide data,site_dashboard,,review_or_reporting,777475e37807ca5e99570e6ef9cfe8b60a8bec6333ca8d0cce1f055b39a102c7,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_040,Output/figures/dashboards/D2_site_GA_040_slide_data.png,D2 site GA 040 slide data,site_dashboard,,review_or_reporting,92711fd767af153acb5950ccdfa1b4fdf86aec2b43d60dbc3414b62e88dc4d75,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_041,Output/figures/dashboards/D2_site_GA_041_slide_data.png,D2 site GA 041 slide data,site_dashboard,,review_or_reporting,26f59c28a70a76dd7cd0c9171e20442d82971b9a3c989fe86c157358df32afeb,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_042,Output/figures/dashboards/D2_site_GA_042_slide_data.png,D2 site GA 042 slide data,site_dashboard,,review_or_reporting,c5ecf957ccd6100d8b0b616334b41043f33ce42431caf997ffedd1dc39e5c261,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_043,Output/figures/dashboards/D2_site_GA_043_slide_data.png,D2 site GA 043 slide data,site_dashboard,,review_or_reporting,609d948ad5b9f7affda8f69179bf5ea71e969aa9ca4984457c4217ecedd21d7f,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_044,Output/figures/dashboards/D2_site_GA_044_slide_data.png,D2 site GA 044 slide data,site_dashboard,,review_or_reporting,ec78f7adbb9642136e9ba5d1949ca3d6972d63f077e1677b94cab68bf29d4abc,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_045,Output/figures/dashboards/D2_site_GA_045_slide_data.png,D2 site GA 045 slide data,site_dashboard,,review_or_reporting,2b347b652bbc5430e6ca17d2eb4740f9a4d691d4a7f2f41e770381afc88a3a3d,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_046,Output/figures/dashboards/D2_site_GA_046_slide_data.png,D2 site GA 046 slide data,site_dashboard,,review_or_reporting,451a1083d7010ce237251ecf4ce36b7d71c8d5c2f6faacf36ff71856683c1301,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_047,Output/figures/dashboards/D2_site_GA_047_slide_data.png,D2 site GA 047 slide data,site_dashboard,,review_or_reporting,b1a37271a93ffac42482f60b959d0e064aa90de04cbbea5b713a67874b37389e,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_048,Output/figures/dashboards/D2_site_GA_048_slide_data.png,D2 site GA 048 slide data,site_dashboard,,review_or_reporting,1f92faf983ac59a916b9b79537d44809b81f3f4615e60e28a02fc6bdee520a52,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_049,Output/figures/dashboards/D2_site_GA_049_slide_data.png,D2 site GA 049 slide data,site_dashboard,,review_or_reporting,61d67eb7ffe95bdfc709e73f16005c4aa1aaa70bf8e82607a5952ce55f4c19a5,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_050,Output/figures/dashboards/D2_site_GA_050_slide_data.png,D2 site GA 050 slide data,site_dashboard,,review_or_reporting,d79f288b18f9dfa95e2eb580ba5561cd16fb24d7c4300fabbead689ea3949700,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_051,Output/figures/dashboards/D2_site_GA_051_slide_data.png,D2 site GA 051 slide data,site_dashboard,,review_or_reporting,89c6fc73c30233b4cc1aee40071993a5e90313cc5754cd74033a170a3a16917f,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_052,Output/figures/dashboards/D2_site_GA_052_slide_data.png,D2 site GA 052 slide data,site_dashboard,,review_or_reporting,47ee415a0923ae5747b937283b4ba0245eb7fd7242fb848f7fcf8072b88c2f4c,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_053,Output/figures/dashboards/D2_site_GA_053_slide_data.png,D2 site GA 053 slide data,site_dashboard,,review_or_reporting,60d4b63b07b78722bca5edc7257f8635295f6e4dfac0d451be686fddd546c38e,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_054,Output/figures/dashboards/D2_site_GA_054_slide_data.png,D2 site GA 054 slide data,site_dashboard,,review_or_reporting,295858460f38e4d50091cb76af98f80e83e7a727e9a466b56d51cde279f0db2f,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_055,Output/figures/dashboards/D2_site_GA_055_slide_data.png,D2 site GA 055 slide data,site_dashboard,,review_or_reporting,34b29759334d55b03aa3665b94dcfa1a2ef7053a9833c177848b2301ae7847ff,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_056,Output/figures/dashboards/D2_site_GA_056_slide_data.png,D2 site GA 056 slide data,site_dashboard,,review_or_reporting,774093f02bffa9eefd1b9810cebb4f8faa83e5358be3abf9548f959ef205c108,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_057,Output/figures/dashboards/D2_site_GA_057_slide_data.png,D2 site GA 057 slide data,site_dashboard,,review_or_reporting,1403631feb092b94571d246d1e44d6f7a37243907450e569825a549c1cfda5e1,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_058,Output/figures/dashboards/D2_site_GA_058_slide_data.png,D2 site GA 058 slide data,site_dashboard,,review_or_reporting,2a99510f3dab6dc00fc3d51c3b0fa49441cc916cd9be0abebf5b7ab4e3e2cd9a,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_059,Output/figures/dashboards/D2_site_GA_059_slide_data.png,D2 site GA 059 slide data,site_dashboard,,review_or_reporting,ccdc1e1871eefd24639393d1ebae50e3ba2965cd967f0406b92d78bf437918c3,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_060,Output/figures/dashboards/D2_site_GA_060_slide_data.png,D2 site GA 060 slide data,site_dashboard,,review_or_reporting,e86e8d95a380265a6f24a656e7d62a55da8c6e1ebabd2d29f2297d336f6d5a69,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_061,Output/figures/dashboards/D2_site_GA_061_slide_data.png,D2 site GA 061 slide data,site_dashboard,,review_or_reporting,9df8b537ac2613e4986a8a2a7548cffe8c52a7ad57320b48350c7e5e0f2c97a1,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_062,Output/figures/dashboards/D2_site_GA_062_slide_data.png,D2 site GA 062 slide data,site_dashboard,,review_or_reporting,23132ab8340281893d12935b7bad7665f48447eec29f8e7e174544abd366db25,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_063,Output/figures/dashboards/D2_site_GA_063_slide_data.png,D2 site GA 063 slide data,site_dashboard,,review_or_reporting,e5101ce986f925bf623ec24e6ed9e105b209a2d22b37ca01349e4c00a2458b18,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_064,Output/figures/dashboards/D2_site_GA_064_slide_data.png,D2 site GA 064 slide data,site_dashboard,,review_or_reporting,87cf3d7f9932da177bc8a0bcc2724b5920ae62db7e14e14d202e73ed3e273967,1,REVIEW,d2_site_dashboard_batch_20260720
figure_d2_site_GA_066,Output/figures/dashboards/D2_site_GA_066_slide_data.png,D2 site GA 066 slide data,site_dashboard,,review_or_reporting,f1afb49825897986a80e6233445a39195b462899ec0613c2ba4020476cbfa736,1,REVIEW,d2_site_dashboard_batch_20260720
