draw_id,n_points,tau,p_value,n_zero_years,significant_p05
1,40,0.06012,0.663471,29,False
2,40,0.30553,0.027057,28,True
3,40,0.46632,0.000709,27,True
4,40,0.09831,0.47419,28,False
5,40,0.29169,0.034724,30,True
6,40,0.30886,0.025781,30,True
7,40,0.26561,0.052201,28,False
8,40,0.02926,0.83272,30,False
9,40,0.17539,0.199695,27,False
10,40,0.21993,0.105609,26,False
11,40,0.19136,0.164067,29,False
12,40,0.2948,0.032306,27,True
13,40,0.1398,0.312909,30,False
14,40,0.17882,0.196788,30,False
15,40,0.29706,0.030233,28,True
16,40,0.35003,0.011281,30,True
17,40,0.29231,0.032612,27,True
18,40,0.18887,0.170654,29,False
19,40,0.31742,0.020854,28,True
20,40,0.24015,0.077219,26,False
21,40,0.36874,0.007474,29,True
22,40,0.30236,0.029069,30,True
23,40,0.16032,0.249817,30,False
24,40,0.20728,0.12972,27,False
25,40,0.25684,0.06374,30,False
26,40,0.24048,0.081771,29,False
27,40,0.14888,0.27848,28,False
28,40,0.1876,0.173134,27,False
29,40,0.19318,0.159929,25,False
30,40,0.22845,0.098234,29,False
31,40,0.20613,0.138982,30,False
32,40,0.28936,0.036737,30,True
33,40,0.3547,0.010251,29,True
34,40,0.17995,0.196459,30,False
35,40,0.31114,0.024301,30,True
36,40,0.23584,0.086808,27,False
37,40,0.36972,0.007342,28,True
38,40,0.10549,0.446269,29,False
39,40,0.09024,0.518,31,False
40,40,0.30497,0.026573,29,True
41,40,0.40881,0.003088,29,True
42,40,0.28046,0.04378,31,True
43,40,0.10954,0.42317,26,False
44,40,0.2412,0.079877,27,False
45,40,0.37745,0.005799,28,True
46,40,0.36972,0.007957,30,True
47,40,0.23731,0.088006,31,False
48,40,0.28936,0.036737,30,True
49,40,0.18532,0.180996,30,False
50,40,0.36669,0.008398,29,True
51,40,0.21042,0.127774,29,False
52,40,0.1876,0.173134,27,False
53,40,0.34012,0.013195,26,True
54,40,0.12136,0.37886,28,False
55,40,0.20441,0.139026,29,False
56,40,0.34476,0.012385,29,True
57,40,0.24709,0.0708,26,False
58,40,0.19292,0.158504,28,False
59,40,0.30005,0.030797,30,True
60,40,0.24884,0.068934,28,False
61,40,0.23322,0.089901,29,False
62,40,0.34788,0.012035,30,True
63,40,0.17231,0.213566,30,False
64,40,0.30886,0.025781,30,True
65,40,0.28765,0.03865,31,True
66,40,0.12331,0.368375,28,False
67,40,0.2445,0.078797,31,False
68,40,0.1333,0.335949,30,False
69,40,0.29353,0.034624,30,True
70,40,0.14069,0.312553,30,False
71,40,0.2525,0.067621,29,False
72,40,0.15631,0.257918,29,False
73,40,0.39679,0.004081,29,True
74,40,0.35879,0.009078,29,True
75,40,0.36299,0.008596,30,True
76,40,0.27639,0.046762,28,True
77,40,0.15521,0.266197,31,False
78,40,0.3547,0.010251,29,True
79,40,0.2093,0.128014,29,False
80,40,0.1807,0.186408,27,False
81,40,0.27606,0.048738,32,True
82,40,0.22724,0.098446,29,False
83,40,0.29817,0.03089,30,True
84,40,0.24906,0.074399,31,False
85,40,0.42052,0.002294,28,True
86,40,0.18287,0.184638,29,False
87,40,0.33058,0.016706,30,True
88,40,0.36937,0.006917,26,True
89,40,0.28285,0.041177,30,True
90,40,0.34683,0.011664,29,True
91,40,0.31088,0.023985,27,True
92,40,0.42435,0.002138,28,True
93,40,0.15449,0.260743,28,False
94,40,0.18637,0.177373,29,False
95,40,0.35003,0.011281,30,True
96,40,0.00843,0.951085,28,False
97,40,0.28765,0.03865,31,True
98,40,0.28936,0.036737,30,True
99,40,0.28046,0.04378,31,True
100,40,0.29586,0.032711,30,True
101,40,0.20047,0.141529,26,False
102,40,0.18649,0.180676,30,False
103,40,0.32497,0.018517,27,True
104,40,0.20441,0.139026,29,False
105,40,0.19136,0.164067,29,False
106,40,0.29586,0.032711,30,True
107,40,0.19839,0.151027,29,False
108,40,0.19465,0.152074,26,False
109,40,0.32291,0.018865,29,True
110,40,0.20086,0.14509,29,False
111,40,0.20112,0.140048,27,False
112,40,0.06828,0.622129,30,False
113,40,0.30466,0.027425,30,True
114,40,0.38074,0.005746,29,True
115,40,0.23322,0.089901,29,False
116,40,0.20332,0.139276,29,False
117,40,0.34355,0.012884,30,True
118,40,0.31726,0.023511,32,True
119,40,0.29732,0.034292,30,True
120,40,0.20332,0.139276,29,False
121,40,0.41854,0.002313,28,True
122,40,0.42124,0.002464,29,True
123,40,0.10442,0.448926,28,False
124,40,0.28371,0.0389,28,True
125,40,0.13452,0.326447,28,False
126,40,0.25934,0.057071,27,False
127,40,0.28374,0.037719,27,True
128,40,0.0897,0.514223,29,False
129,40,0.38673,0.005025,29,True
130,40,0.42616,0.002,28,True
131,40,0.16853,0.222459,30,False
132,40,0.30428,0.028951,30,True
133,40,0.36673,0.007948,29,True
134,40,0.36275,0.008502,29,True
135,40,0.20613,0.138982,30,False
136,40,0.16686,0.231009,30,False
137,40,0.42978,0.001757,28,True
138,40,0.29817,0.03089,30,True
139,40,0.25782,0.059997,28,False
140,40,0.28936,0.036737,30,True
141,40,0.36288,0.007788,26,True
142,40,0.2392,0.081964,29,False
143,40,0.22296,0.105934,28,False
144,40,0.10393,0.449305,28,False
145,40,0.35663,0.010469,30,True
146,40,0.29586,0.032711,30,True
147,40,0.12079,0.379259,28,False
148,40,0.15523,0.260344,28,False
149,40,0.28515,0.04108,31,True
150,40,0.27326,0.049473,31,True
151,40,0.35879,0.009078,29,True
152,40,0.16205,0.240759,30,False
153,40,0.29586,0.032711,30,True
154,40,0.18375,0.179932,27,False
155,40,0.34788,0.012035,30,True
156,40,0.27376,0.047132,28,True
157,40,0.18375,0.179932,27,False
158,40,0.24438,0.075244,28,False
159,40,0.45686,0.000785,27,True
160,40,0.36477,0.007988,29,True
161,40,0.39794,0.003696,28,True
162,40,0.33487,0.015639,30,True
163,40,0.10955,0.425178,28,False
164,40,0.12136,0.37886,28,False
165,40,0.26685,0.05207,28,False
166,40,0.19296,0.161178,27,False
167,40,0.32251,0.019887,29,True
168,40,0.23004,0.090522,26,False
169,40,0.29763,0.029538,27,True
170,40,0.26682,0.052923,29,False
171,40,0.35076,0.010944,29,True
172,40,0.1815,0.188892,30,False
173,40,0.19734,0.151285,29,False
174,40,0.20332,0.139276,29,False
175,40,0.20441,0.139026,29,False
176,40,0.17882,0.196788,30,False
177,40,0.34885,0.0109,27,True
178,40,0.28936,0.036737,30,True
179,40,0.26812,0.051874,28,False
180,40,0.21517,0.121977,29,False
181,40,0.28184,0.042792,29,True
182,40,0.34352,0.012175,27,True
183,40,0.15694,0.252273,28,False
184,40,0.29817,0.03089,30,True
185,40,0.28285,0.041177,30,True
186,40,0.23048,0.094217,27,False
187,40,0.27881,0.043121,29,True
188,40,0.08788,0.521308,27,False
189,40,0.33919,0.014631,30,True
190,40,0.32677,0.017764,29,True
191,40,0.19539,0.151885,26,False
192,40,0.41476,0.002481,28,True
193,40,0.20576,0.133645,29,False
194,40,0.30005,0.030797,30,True
195,40,0.29145,0.033491,28,True
196,40,0.2392,0.081964,29,False
197,40,0.20441,0.139026,29,False
198,40,0.28936,0.036737,30,True
199,40,0.09148,0.506139,24,False
200,40,0.28585,0.037046,28,True
201,40,0.20332,0.139276,29,False
202,40,0.34633,0.010844,26,True
203,40,0.35879,0.009078,29,True
204,40,0.10787,0.438069,31,False
205,40,0.24883,0.071065,29,False
206,40,0.22661,0.105688,32,False
207,40,0.28765,0.03865,31,True
208,40,0.41659,0.002326,28,True
209,40,0.35879,0.009078,29,True
210,40,0.1264,0.35749,28,False
211,40,0.14259,0.297289,28,False
212,40,0.19136,0.164067,29,False
213,40,0.16307,0.2405,30,False
214,40,0.19238,0.163801,29,False
215,40,0.27873,0.04362,30,True
216,40,0.14259,0.297289,28,False
217,40,0.26685,0.05207,28,False
218,40,0.20969,0.12534,28,False
219,40,0.30552,0.026525,27,True
220,40,0.29119,0.036598,30,True
221,40,0.28505,0.038737,28,True
222,40,0.15449,0.260743,28,False
223,40,0.32222,0.018696,27,True
224,40,0.23385,0.087365,27,False
225,40,0.09024,0.518,31,False
226,40,0.04489,0.741393,27,False
227,40,0.27464,0.045126,28,True
228,40,0.36626,0.007424,28,True
229,40,0.13764,0.316368,28,False
230,40,0.42052,0.002294,28,True
231,40,0.35281,0.010299,29,True
232,40,0.35281,0.010299,29,True
233,40,0.30266,0.02725,28,True
234,40,0.1794,0.192045,29,False
235,40,0.06657,0.627069,27,False
236,40,0.10442,0.448926,28,False
237,40,0.34085,0.013188,29,True
238,40,0.21133,0.127149,30,False
239,40,0.20506,0.135516,28,False
240,40,0.29119,0.036598,30,True
241,40,0.214,0.122331,29,False
242,40,0.31404,0.019853,25,True
243,40,0.25482,0.064522,29,False
244,40,0.28046,0.04378,31,True
245,40,0.02657,0.845936,27,False
246,40,0.15931,0.250165,30,False
247,40,0.32222,0.018696,27,True
248,40,0.20231,0.145542,28,False
249,40,0.16581,0.231352,30,False
250,40,0.33232,0.01582,27,True
251,40,0.3415,0.013276,28,True
252,40,0.18532,0.180996,30,False
253,40,0.20441,0.139026,29,False
254,40,0.36072,0.009034,29,True
255,40,0.29586,0.032711,30,True
256,40,0.22126,0.107627,29,False
257,40,0.19136,0.164067,29,False
258,40,0.30056,0.028675,28,True
259,40,0.19972,0.144959,27,False
260,40,0.29396,0.034613,29,True
261,40,0.2107,0.122241,25,False
262,40,0.28765,0.03865,31,True
263,40,0.19292,0.158504,28,False
264,40,0.25782,0.059997,28,False
265,40,0.2354,0.08593,28,False
266,40,0.39094,0.004956,29,True
267,40,0.30827,0.024525,28,True
268,40,0.28046,0.04378,31,True
269,40,0.36063,0.00954,29,True
270,40,0.11692,0.3927,27,False
271,40,0.38074,0.005746,29,True
272,40,-0.02417,0.860943,27,False
273,40,0.12328,0.370701,27,False
274,40,0.28515,0.04108,31,True
275,40,0.11506,0.408149,31,False
276,40,0.21042,0.127774,29,False
277,40,0.27809,0.042935,28,True
278,40,0.27635,0.046064,30,True
279,40,0.10764,0.433785,29,False
280,40,0.30886,0.0252,27,True
281,40,0.28936,0.036737,30,True
282,40,0.24101,0.078721,28,False
283,40,0.29169,0.034724,30,True
284,40,0.24518,0.074604,29,False
285,40,0.2816,0.045376,32,True
286,40,0.01404,0.918566,28,False
287,40,0.27881,0.043121,29,True
288,40,0.30827,0.024525,28,True
289,40,0.30661,0.026477,29,True
290,40,0.28585,0.037046,28,True
291,40,0.26778,0.049821,28,True
292,40,0.19238,0.163801,29,False
293,40,0.35279,0.010545,28,True
294,40,0.23884,0.086447,30,False
295,40,0.35009,0.011972,30,True
296,40,0.2445,0.078797,31,False
297,40,0.36275,0.008502,29,True
298,40,0.34518,0.013084,31,True
299,40,0.18637,0.177373,29,False
300,40,0.33667,0.014822,29,True
301,40,0.35675,0.009654,29,True
302,40,0.22066,0.110353,28,False
303,40,0.10607,0.445838,29,False
304,40,0.2246,0.098713,25,False
305,40,0.39329,0.00404,27,True
306,40,0.19238,0.163801,29,False
307,40,0.28285,0.041177,30,True
308,40,0.18532,0.180996,30,False
309,40,0.28933,0.035192,28,True
310,40,0.27606,0.048738,32,True
311,40,0.36874,0.007474,29,True
312,40,0.38689,0.005227,30,True
313,40,0.27326,0.049473,31,True
314,40,0.18036,0.191765,29,False
315,40,0.37274,0.00698,29,True
316,40,0.29586,0.032711,30,True
317,40,0.19182,0.166165,30,False
318,40,0.16744,0.223382,29,False
319,40,0.41476,0.002481,28,True
320,40,0.28515,0.04108,31,True
321,40,0.16581,0.231352,30,False
322,40,0.28049,0.043505,30,True
323,40,0.28936,0.036737,30,True
324,40,0.27606,0.048738,32,True
325,40,0.30827,0.024525,28,True
326,40,0.42499,0.002152,29,True
327,40,0.30236,0.029069,30,True
328,40,0.38056,0.005722,27,True
329,40,0.19501,0.150986,27,False
330,40,0.40726,0.002853,28,True
331,40,0.28374,0.037719,27,True
332,40,0.30922,0.026217,31,True
333,40,0.35438,0.010526,30,True
334,40,0.23447,0.089699,29,False
335,40,0.21528,0.117474,29,False
336,40,0.17055,0.212533,28,False
337,40,0.29119,0.036598,30,True
338,40,0.05382,0.695527,29,False
339,40,0.30236,0.029069,30,True
340,40,0.2354,0.085974,28,False
341,40,0.31962,0.021418,30,True
342,40,0.28515,0.04108,31,True
343,40,0.1119,0.409253,25,False
344,40,0.2093,0.128014,29,False
345,40,0.2445,0.078797,31,False
346,40,0.28765,0.03865,31,True
347,40,0.26561,0.052201,28,False
348,40,0.20332,0.139276,29,False
349,40,0.2593,0.062119,28,False
350,40,0.26343,0.054643,28,False
351,40,0.27639,0.046762,28,True
352,40,0.03576,0.79629,30,False
353,40,0.34293,0.012426,29,True
354,40,0.29119,0.036598,30,True
355,40,0.2525,0.067621,29,False
356,40,0.35609,0.009222,27,True
357,40,0.36477,0.007988,29,True
358,40,0.2093,0.128014,29,False
359,40,0.20304,0.144456,29,False
360,40,0.29357,0.031886,28,True
361,40,0.29586,0.032711,30,True
362,40,0.1944,0.155986,27,False
363,40,0.27376,0.047132,28,True
364,40,0.01626,0.906589,30,False
365,40,0.26903,0.049694,28,True
366,40,0.37735,0.005795,27,True
367,40,0.28936,0.036737,30,True
368,40,0.16651,0.227263,28,False
369,40,0.26903,0.049694,28,True
370,40,0.06871,0.621873,30,False
371,40,0.29586,0.032711,30,True
372,40,0.42052,0.002294,28,True
373,40,0.32291,0.018865,29,True
374,40,0.27606,0.048738,32,True
375,40,0.20441,0.139026,29,False
376,40,0.25713,0.061503,29,False
377,40,0.1503,0.276677,29,False
378,40,0.22244,0.107406,29,False
379,40,0.2093,0.128014,29,False
380,40,0.28285,0.041177,30,True
381,40,0.1696,0.222204,30,False
382,40,0.32755,0.016829,27,True
383,40,0.23731,0.088006,31,False
384,40,0.17936,0.190739,28,False
385,40,0.2298,0.093664,28,False
386,40,0.24384,0.078387,30,False
387,40,0.34851,0.012247,29,True
388,40,0.31357,0.021892,27,True
389,40,0.2157,0.1137,26,False
390,40,0.31762,0.02149,30,True
391,40,0.27873,0.04362,30,True
392,40,0.25222,0.065778,28,False
393,40,0.34885,0.0109,27,True
394,40,0.27464,0.045126,28,True
395,40,0.02019,0.881755,26,False
396,40,0.26561,0.052201,28,False
397,40,0.29586,0.032711,30,True
398,40,0.10649,0.437242,28,False
399,40,0.03978,0.770826,27,False
400,40,0.28285,0.041177,30,True
401,40,0.31641,0.022925,31,True
402,40,0.28046,0.04378,31,True
403,40,0.31214,0.024861,29,True
404,40,0.29559,0.03099,27,True
405,40,0.30168,0.026869,27,True
406,40,0.18907,0.167638,27,False
407,40,0.19446,0.159217,30,False
408,40,0.10468,0.453339,31,False
409,40,0.28024,0.040917,28,True
410,40,-0.01981,0.885394,25,False
411,40,0.17435,0.206998,29,False
412,40,0.28936,0.036737,30,True
413,40,0.32391,0.020068,30,True
414,40,0.19665,0.150472,27,False
415,40,0.41283,0.002495,28,True
416,40,0.35281,0.010299,29,True
417,40,0.29169,0.034724,30,True
418,40,0.38674,0.004784,28,True
419,40,0.19851,0.146781,28,False
420,40,0.40923,0.003003,28,True
421,40,0.28505,0.038737,28,True
422,40,0.36669,0.008398,29,True
423,40,0.01976,0.886088,28,False
424,40,0.30497,0.026573,29,True
425,40,0.38622,0.005662,31,True
426,40,0.3242,0.017762,27,True
427,40,0.25782,0.059997,28,False
428,40,0.42036,0.002165,28,True
429,40,0.23765,0.082368,28,False
430,40,0.35281,0.010299,29,True
431,40,0.12331,0.368375,28,False
432,40,0.15694,0.252273,28,False
433,40,0.18637,0.177373,29,False
434,40,0.10184,0.459615,27,False
435,40,0.19734,0.151285,29,False
436,40,0.29353,0.034624,30,True
437,40,0.04824,0.726128,27,False
438,40,0.34788,0.012035,30,True
439,40,0.32889,0.016771,29,True
440,40,0.21267,0.12687,30,False
441,40,0.06012,0.663471,29,False
442,40,0.12024,0.384163,29,False
443,40,0.35675,0.009654,29,True
444,40,0.17341,0.213229,30,False
445,40,0.39234,0.004208,28,True
446,40,0.14958,0.278077,28,False
447,40,0.25482,0.064522,29,False
448,40,0.05927,0.667366,28,False
449,40,0.27158,0.049408,28,True
450,40,0.19416,0.162767,31,False
451,40,0.18258,0.18381,28,False
452,40,0.17688,0.199016,27,False
453,40,0.20795,0.130652,26,False
454,40,0.28046,0.04378,31,True
455,40,0.28936,0.036737,30,True
456,40,0.14472,0.293332,27,False
457,40,0.09294,0.500198,29,False
458,40,0.41671,0.002503,29,True
459,40,0.15377,0.261009,28,False
460,40,0.10955,0.425178,28,False
461,40,0.27941,0.042761,28,True
462,40,0.28285,0.041177,30,True
463,40,0.27873,0.04362,30,True
464,40,0.18637,0.177373,29,False
465,40,0.26002,0.057354,28,False
466,40,0.28285,0.041177,30,True
467,40,0.34138,0.013733,30,True
468,40,0.13829,0.315963,28,False
469,40,0.27464,0.045126,28,True
470,40,0.19661,0.157227,28,False
471,40,0.29169,0.034724,30,True
472,40,0.30056,0.028675,28,True
473,40,0.26903,0.049694,28,True
474,40,0.27606,0.048738,32,True
475,40,0.43896,0.001334,28,True
476,40,0.23447,0.089699,29,False
477,40,0.34788,0.012035,30,True
478,40,0.29586,0.032711,30,True
479,40,0.36528,0.008559,30,True
480,40,0.16307,0.2405,30,False
481,40,0.26453,0.05555,29,False
482,40,0.26453,0.05555,29,False
483,40,0.35438,0.010526,30,True
484,40,0.32889,0.016771,29,True
485,40,0.31641,0.022925,31,True
486,40,0.19292,0.158504,28,False
487,40,0.26685,0.05207,28,False
488,40,0.30618,0.025825,28,True
489,40,0.34138,0.013733,30,True
490,40,0.1121,0.413502,28,False
491,40,0.09425,0.490713,26,False
492,40,0.3595,0.0087,27,True
493,40,0.3547,0.010251,29,True
494,40,0.12944,0.352086,31,False
495,40,0.31035,0.023301,28,True
496,40,0.18602,0.173785,27,False
497,40,0.35876,0.009817,30,True
498,40,0.34788,0.012035,30,True
499,40,0.28515,0.04108,31,True
500,40,0.28285,0.041177,30,True
