path,line,text,hectare_value,label_used,states_definition,supersession_marked,class,relevance,is_taskM_spec
CLAUDE.md,40,"- **Task H — all-pixel census (1,080,157 pixels, 11 strata): analytically complete and reconciled** (parquet ↔ `census_stratum` at diff = 0). Paper-trail defects (data is sound): **D1 RESOLVED** — spec v4 **is** committed and clean on `main` (review Gate A); **D2 FIXED** (21 Jul) — `pct_of_farm` now divides by the true farm (85,910.8 ha), with an explicit `pct_of_mapped` added (the 67,349.332 ha basis kept for the S12 ""66.44% of mapped"" trap); **D8 FIXED** — refugia restated on the native 30 m grid (~6,460 ha, not ~4,300); D3–D6 lower. None require re-running the census.","85,910",refugia,N,N,stale,incidental,N
CLAUDE.md,40,"- **Task H — all-pixel census (1,080,157 pixels, 11 strata): analytically complete and reconciled** (parquet ↔ `census_stratum` at diff = 0). Paper-trail defects (data is sound): **D1 RESOLVED** — spec v4 **is** committed and clean on `main` (review Gate A); **D2 FIXED** (21 Jul) — `pct_of_farm` now divides by the true farm (85,910.8 ha), with an explicit `pct_of_mapped` added (the 67,349.332 ha basis kept for the S12 ""66.44% of mapped"" trap); **D8 FIXED** — refugia restated on the native 30 m grid (~6,460 ha, not ~4,300); D3–D6 lower. None require re-running the census.","67,349",refugia,N,N,stale,incidental,N
CLAUDE.md,40,"- **Task H — all-pixel census (1,080,157 pixels, 11 strata): analytically complete and reconciled** (parquet ↔ `census_stratum` at diff = 0). Paper-trail defects (data is sound): **D1 RESOLVED** — spec v4 **is** committed and clean on `main` (review Gate A); **D2 FIXED** (21 Jul) — `pct_of_farm` now divides by the true farm (85,910.8 ha), with an explicit `pct_of_mapped` added (the 67,349.332 ha basis kept for the S12 ""66.44% of mapped"" trap); **D8 FIXED** — refugia restated on the native 30 m grid (~6,460 ha, not ~4,300); D3–D6 lower. None require re-running the census.","6,460",refugia,N,N,stale,floor_claim,N
CLAUDE.md,44,"- **Novel findings:** a vegetation floor (~97% dead at the median) with ~4,300 ha staying majority-green as refugia; community-structured lag response strengthening dry→wet. Headline caveat (confirmed): Landsat FC measures cover, not structure — it cannot separate land-use change from ecological condition. Adrian has pre-authorised a null as publishable.","4,300",majority-green; refugia; floor,N,N,stale,floor_claim,N
Gayini_Notes.txt,228,"Refugia claim doesn't reproduce — ""~4,300 ha majority-green"" computes to 40,936 ha at p05 ≥ 50; the companion ""97% dead at median"" is actually 0.9%. Likely a p05 ≥ 80 (4,179 ha) result that drifted in prose.","4,300",majority-green; refugia,N,N,stale,floor_claim,N
Gayini_Notes.txt,228,"Refugia claim doesn't reproduce — ""~4,300 ha majority-green"" computes to 40,936 ha at p05 ≥ 50; the companion ""97% dead at median"" is actually 0.9%. Likely a p05 ≥ 80 (4,179 ha) result that drifted in prose.","40,936",majority-green; refugia,N,N,stale,floor_claim,N
Gayini_Notes.txt,228,"Refugia claim doesn't reproduce — ""~4,300 ha majority-green"" computes to 40,936 ha at p05 ≥ 50; the companion ""97% dead at median"" is actually 0.9%. Likely a p05 ≥ 80 (4,179 ha) result that drifted in prose.","4,179",majority-green; refugia,N,N,stale,floor_claim,N
Output/diagnostics/ondisk_review_20260720/gate_A_orientation.md,40,"4. **Refugia (~4,300 ha): no producing script and no standalone table on disk** — confirmed the C-note gap; compute at Gate C from green_fraction_at_floor substrate.","4,300",refugia; green fraction,N,N,stale,floor_claim,N
Output/diagnostics/ondisk_review_20260720/gate_C_reproduction.md,34,"**FINDING (refugia — reproduces in the right ballpark, but surfaces a pixel-area-convention inconsistency).** The §9 headline ""~4,300 ha (≈5%)"" is in range but rests on a mixed-grid conversion: the paired-floor computation lives on the **3577 30 m** grid (n=959,833), yet §9 / the C-note convert the count with the **8058 24.97 m** census pixel. Converting 30 m-grid pixels with a 24.97 m pixel understates true ground area by (24.97/30)² = 0.693 — a 30.7% understatement. My faithful reproduction gives **4,474 ha at the §9 convention** (within ~4% of the stated 4,300 — residual is a >50 threshold ","4,300",refugia; floor,Y,N,definition_complete,floor_claim,N
Output/diagnostics/ondisk_review_20260720/gate_C_reproduction.md,34,"**FINDING (refugia — reproduces in the right ballpark, but surfaces a pixel-area-convention inconsistency).** The §9 headline ""~4,300 ha (≈5%)"" is in range but rests on a mixed-grid conversion: the paired-floor computation lives on the **3577 30 m** grid (n=959,833), yet §9 / the C-note convert the count with the **8058 24.97 m** census pixel. Converting 30 m-grid pixels with a 24.97 m pixel understates true ground area by (24.97/30)² = 0.693 — a 30.7% understatement. My faithful reproduction gives **4,474 ha at the §9 convention** (within ~4% of the stated 4,300 — residual is a >50 threshold ","4,474",refugia; floor,Y,N,definition_complete,floor_claim,N
Output/diagnostics/ondisk_review_20260720/gate_C_reproduction.md,34,"**FINDING (refugia — reproduces in the right ballpark, but surfaces a pixel-area-convention inconsistency).** The §9 headline ""~4,300 ha (≈5%)"" is in range but rests on a mixed-grid conversion: the paired-floor computation lives on the **3577 30 m** grid (n=959,833), yet §9 / the C-note convert the count with the **8058 24.97 m** census pixel. Converting 30 m-grid pixels with a 24.97 m pixel understates true ground area by (24.97/30)² = 0.693 — a 30.7% understatement. My faithful reproduction gives **4,474 ha at the §9 convention** (within ~4% of the stated 4,300 — residual is a >50 threshold ","6,458",refugia; floor,Y,N,definition_complete,floor_claim,N
Output/diagnostics/ondisk_review_20260720/gate_C_reproduction.md,34,"**FINDING (refugia — reproduces in the right ballpark, but surfaces a pixel-area-convention inconsistency).** The §9 headline ""~4,300 ha (≈5%)"" is in range but rests on a mixed-grid conversion: the paired-floor computation lives on the **3577 30 m** grid (n=959,833), yet §9 / the C-note convert the count with the **8058 24.97 m** census pixel. Converting 30 m-grid pixels with a 24.97 m pixel understates true ground area by (24.97/30)² = 0.693 — a 30.7% understatement. My faithful reproduction gives **4,474 ha at the §9 convention** (within ~4% of the stated 4,300 — residual is a >50 threshold ","6,460",refugia; floor,Y,N,definition_complete,floor_claim,N
Output/diagnostics/ondisk_review_20260720/gate_C_reproduction.md,43,"**Every PPT census & ground-cover figure number reproduces from the committed pipeline output.** One substantive finding (refugia pixel-area convention, ~4,300 vs ~6,460 ha — flag, state the basis), and one carried-forward structural fact (the deck's F6/F7 PNGs are plot support; the census figures are unrendered — Gate E). No percentile subtraction, no support mixing inside the committed tables.","6,460",refugia,N,N,stale,floor_claim,N
Output/diagnostics/ondisk_review_20260720/verdict.md,21,"| **D8** | LOW–MED | 🆕 new (Gate C) | **Refugia hectare grid mismatch:** 71,755 majority-green pixels counted on the **3577 30 m** grid but §9 converts with the **8058 24.97 m** pixel (~31% understatement). Honest: **~6,458 ha (7.48%)** native-consistent, or ~4,474 ha at §9's convention. Story unaffected. → state the pixel basis on any refugia slide; prefer native ~6,460 ha. |","6,458",majority-green; refugia,N,N,stale,floor_claim,N
Output/diagnostics/ondisk_review_20260720/verdict.md,21,"| **D8** | LOW–MED | 🆕 new (Gate C) | **Refugia hectare grid mismatch:** 71,755 majority-green pixels counted on the **3577 30 m** grid but §9 converts with the **8058 24.97 m** pixel (~31% understatement). Honest: **~6,458 ha (7.48%)** native-consistent, or ~4,474 ha at §9's convention. Story unaffected. → state the pixel basis on any refugia slide; prefer native ~6,460 ha. |","4,474",majority-green; refugia,N,N,stale,floor_claim,N
Output/diagnostics/ondisk_review_20260720/verdict.md,21,"| **D8** | LOW–MED | 🆕 new (Gate C) | **Refugia hectare grid mismatch:** 71,755 majority-green pixels counted on the **3577 30 m** grid but §9 converts with the **8058 24.97 m** pixel (~31% understatement). Honest: **~6,458 ha (7.48%)** native-consistent, or ~4,474 ha at §9's convention. Story unaffected. → state the pixel basis on any refugia slide; prefer native ~6,460 ha. |","6,460",majority-green; refugia,N,N,stale,floor_claim,N
Output/diagnostics/ondisk_review_20260720/verdict.md,49,"2. **D8** — restate refugia hectares on the native grid (~6,460 ha) or reproject the floor to 8058 before counting; state the pixel basis.","6,460",refugia; floor,N,N,stale,floor_claim,N
Output/review_bundles/tier2H_all_pixel_census/docs/Gayini_established_data_facts.md,34,"| 5 | **New §9: the floor is ~97% dead** — measured **paired**, not by subtracting marginal percentiles. And **~4,300 ha has a majority-green floor.** |","4,300",majority-green; green floor; floor,N,N,stale,floor_claim,N
Output/review_bundles/tier2H_all_pixel_census/docs/Gayini_established_data_facts.md,271,"> **The distribution is heavily skewed, and the tail is the interesting part: ~4,300 ha (≈5% of the farm) has a floor that is MAJORITY GREEN** — land that stays green in its own worst season. That is a **refugia** map, and probably a better one than the median.","4,300",majority-green; refugia; floor,N,N,stale,floor_claim,N
Output/review_bundles/tier2H_all_pixel_census/docs/taskI_deck_stocktake_20260717.md,83,"4. **The floor is ~97% dead at the median**, but **~4,300 ha (≈5% of the farm) has a majority-green floor** — a refugia map, probably better than the median (facts §9).","4,300",majority-green; green floor; refugia; floor,N,N,stale,floor_claim,N
Output/review_bundles/tier2H_all_pixel_census/docs/tier2H_all_pixel_census_20260715.md,346,"**Verdict: a lake.** Water is persistent FC nodata → too few valid seasons → correctly NA. Not a claypan (would be dry, low inundation), not an artefact (coherent 347 ha feature). **The `MIN_SEASONS` threshold has a second job**, now recorded in the code: beyond making `p05` a percentile (n ≥ 40), it **stops the product fabricating a veg floor over open water**. Table shipped as `tier2H_h2_blob_probe.csv`.",347,floor,N,N,stale,floor_claim,N
docs/Chats/ChatGPT-Ecology Discussion Topics.json,84,"""say"": ""Inspecting documents for proposed edits\n\nWe need to respond to the user about their uploaded references. They want a detailed analysis and proposed edits, especially on the differences between ecology and remote sensing scales. I’ll likely need to inspect all the documents to quote information accurately, possibly with references to specific sections.\n\nConsidering proposed edits based on documents\n\nI’m thinking it might be easier to propose edits without creating or modifying a .docx document, but I’ll still need to look at the existing ones. To suggest relevant changes, I'll foc","88,000",refugia,N,Y,marked,incidental,N
docs/Chats/ChatGPT-Ecology Discussion Topics.json,84,"""say"": ""Inspecting documents for proposed edits\n\nWe need to respond to the user about their uploaded references. They want a detailed analysis and proposed edits, especially on the differences between ecology and remote sensing scales. I’ll likely need to inspect all the documents to quote information accurately, possibly with references to specific sections.\n\nConsidering proposed edits based on documents\n\nI’m thinking it might be easier to propose edits without creating or modifying a .docx document, but I’ll still need to look at the existing ones. To suggest relevant changes, I'll foc",175,refugia,N,Y,marked,floor_claim,N
docs/Gayini_census_audit_kickoff.md,65,"> - **floor is 97% dead / ~4,300 ha green** → the paired PV table","4,300",floor,N,N,stale,floor_claim,N
docs/Gayini_established_data_facts.md,34,"| 5 | **New §9: the floor is ~97% dead** — measured **paired**, not by subtracting marginal percentiles. And **~4,300 ha has a majority-green floor.** |","4,300",majority-green; green floor; floor,N,N,stale,floor_claim,N
docs/Gayini_established_data_facts.md,273,"> ⚠️ **State the pixel basis (D8 — grid mismatch).** The paired majority-green count is **71,755 pixels on the native EPSG:3577 30 m grid**; converting it with the **EPSG:8058 24.97 m census pixel** understates true ground area by (24.97/30)² = 0.693 (~31%). Native-grid consistent: **~6,460 ha (≈7.5% of the farm)**. The earlier ""**~4,300 ha (≈5%)**"" used the mismatched 8058 pixel and is **superseded** — prefer the native-grid figure, or reproject the floor to 8058 before counting, and state the basis on any refugia slide. The refugia *story* is unchanged (thousands of ha, skew-tail); only the ","6,460",majority-green; refugia; floor,Y,Y,definition_complete,floor_claim,N
docs/Gayini_established_data_facts.md,273,"> ⚠️ **State the pixel basis (D8 — grid mismatch).** The paired majority-green count is **71,755 pixels on the native EPSG:3577 30 m grid**; converting it with the **EPSG:8058 24.97 m census pixel** understates true ground area by (24.97/30)² = 0.693 (~31%). Native-grid consistent: **~6,460 ha (≈7.5% of the farm)**. The earlier ""**~4,300 ha (≈5%)**"" used the mismatched 8058 pixel and is **superseded** — prefer the native-grid figure, or reproject the floor to 8058 before counting, and state the basis on any refugia slide. The refugia *story* is unchanged (thousands of ha, skew-tail); only the ","4,300",majority-green; refugia; floor,Y,Y,definition_complete,floor_claim,N
docs/Gayini_taskL_session_learnings.md,39,"- **Refugia restated ~4,300 → ~6,460 ha** (Gate E D8, native-grid correction). ~4,300 is superseded.","6,460",refugia,N,Y,marked,floor_claim,N
docs/Tier2_TaskH_gateE_figure_build.md,16,"4. **Open defects to fold in as small cleanups** (from the review ledger): **D2** (add `farm_area_total_ha` = 85,910.8, repoint `v_pixel_census_by_veg_regime.pct_of_farm` off the mapped 67,349 basis); **D8** (restate refugia hectares on the native 30 m grid ~6,460 ha, or reproject the floor to 8058 before counting — state the pixel basis); **D1/D7** (correct CLAUDE.md's stale ""v4 not committed"" line; add the `veg_p*` NaN-not-NULL data-dictionary caveat). Each is one concern — do them as discrete commits, not a bundle.","6,460",refugia; floor,N,Y,marked,floor_claim,N
docs/Tier2_TaskH_ondisk_audit.md,54,"| **D3** | refugia figure (~4,300 ha majority-green) has **no committed table** | Gate C closes this |","4,300",majority-green; refugia,N,N,stale,floor_claim,N
docs/Tier2_TaskH_ondisk_audit.md,104,"Zonal stats of the five percentile rasters (p05/p10/p20/p30/p50) by community. Include the majority-green area (the ~4,300 ha refugia figure) as an explicit derived row/column so D3 has a committed table.","4,300",majority-green; refugia,N,N,stale,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,20,"| **D3** | LOW | ✅ **RESOLVED (Gate C)** | ~4,300 ha refugia computed from the green-fraction substrate (reused `green_at_floor()` verbatim). Result written to `refugia_area_check.csv`. The area exists and reproduces — **but see D8** for the convention issue it surfaced. |","4,300",refugia,N,Y,marked,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,24,"| **D8** | LOW–MED (new) | 🆕 **Gate C** | **Refugia hectare convention is a grid mismatch.** The paired-floor count (71,755 majority-green pixels) is made on the **native 3577 30 m** grid, but §9's ""~4,300 ha"" converts it with the **8058 24.97 m** census pixel — understating true ground area by (24.97/30)² = 0.693, i.e. ~31%. Honest figures: **~6,458 ha (7.48%)** native-grid consistent, **or ~4,474 ha** faithful to §9's (mismatched) convention. **The refugia *story* is unaffected** (thousands of ha, skew-tail, ~5–7.5% of farm); only the headline hectares move. Touches a number that may go to A","4,300",majority-green; refugia; floor,Y,N,definition_complete,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,24,"| **D8** | LOW–MED (new) | 🆕 **Gate C** | **Refugia hectare convention is a grid mismatch.** The paired-floor count (71,755 majority-green pixels) is made on the **native 3577 30 m** grid, but §9's ""~4,300 ha"" converts it with the **8058 24.97 m** census pixel — understating true ground area by (24.97/30)² = 0.693, i.e. ~31%. Honest figures: **~6,458 ha (7.48%)** native-grid consistent, **or ~4,474 ha** faithful to §9's (mismatched) convention. **The refugia *story* is unaffected** (thousands of ha, skew-tail, ~5–7.5% of farm); only the headline hectares move. Touches a number that may go to A","6,458",majority-green; refugia; floor,Y,N,definition_complete,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,24,"| **D8** | LOW–MED (new) | 🆕 **Gate C** | **Refugia hectare convention is a grid mismatch.** The paired-floor count (71,755 majority-green pixels) is made on the **native 3577 30 m** grid, but §9's ""~4,300 ha"" converts it with the **8058 24.97 m** census pixel — understating true ground area by (24.97/30)² = 0.693, i.e. ~31%. Honest figures: **~6,458 ha (7.48%)** native-grid consistent, **or ~4,474 ha** faithful to §9's (mismatched) convention. **The refugia *story* is unaffected** (thousands of ha, skew-tail, ~5–7.5% of farm); only the headline hectares move. Touches a number that may go to A","4,474",majority-green; refugia; floor,Y,N,definition_complete,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,24,"| **D8** | LOW–MED (new) | 🆕 **Gate C** | **Refugia hectare convention is a grid mismatch.** The paired-floor count (71,755 majority-green pixels) is made on the **native 3577 30 m** grid, but §9's ""~4,300 ha"" converts it with the **8058 24.97 m** census pixel — understating true ground area by (24.97/30)² = 0.693, i.e. ~31%. Honest figures: **~6,458 ha (7.48%)** native-grid consistent, **or ~4,474 ha** faithful to §9's (mismatched) convention. **The refugia *story* is unaffected** (thousands of ha, skew-tail, ~5–7.5% of farm); only the headline hectares move. Touches a number that may go to A","6,460",majority-green; refugia; floor,Y,N,definition_complete,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,106,"| **ground cover — refugia** | ~4,300 ha majority-green | **~4,300 ha (≈5%)** floor is majority-green | ⚠️ **no standalone committed table found** — see C-note |","4,300",majority-green; refugia; floor,N,N,stale,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,106,"| **ground cover — refugia** | ~4,300 ha majority-green | **~4,300 ha (≈5%)** floor is majority-green | ⚠️ **no standalone committed table found** — see C-note |","4,300",majority-green; refugia; floor,N,N,stale,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,116,"**C-note (the one genuine gap to resolve on disk):** the **~4,300 ha refugia** number has **no committed standalone table** — it lives in facts §9 prose and the stocktake. On the workstation you can settle it: from the green-fraction-at-floor computation (n=959,833), count pixels with floor green-fraction > 50%, convert to ha (× 24.970268² / 10⁴ per pixel), and report the area. **Confirm it lands near 4,300 ha.** Write the result to `Output/diagnostics/ondisk_review_20260720/refugia_area_check.csv` (additive scratch, not a registered product — registering it is Adrian's call per §12).","4,300",refugia; floor,N,N,stale,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,116,"**C-note (the one genuine gap to resolve on disk):** the **~4,300 ha refugia** number has **no committed standalone table** — it lives in facts §9 prose and the stocktake. On the workstation you can settle it: from the green-fraction-at-floor computation (n=959,833), count pixels with floor green-fraction > 50%, convert to ha (× 24.970268² / 10⁴ per pixel), and report the area. **Confirm it lands near 4,300 ha.** Write the result to `Output/diagnostics/ondisk_review_20260720/refugia_area_check.csv` (additive scratch, not a registered product — registering it is Adrian's call per §12).","4,300",refugia; floor,N,N,stale,floor_claim,N
docs/Tier2_TaskH_ondisk_census_groundcover_review.md,190,"- **`MIN_SEASONS = 50` does two jobs** (percentile validity AND open-water exclusion). Confirm the script comment/guard records both, and that the lake (346.9 ha, 5,564 cells at 8,999,545 / 4,349,484, 91.4% inundation) is **NA in the veg products, never a fabricated floor**. Confirm via `tier2H_h2_blob_probe.csv` + a direct raster read at those coordinates.",346,floor,N,N,stale,floor_claim,N
docs/Tier2_TaskI_deck_stocktake_and_review_bundle.md,76,"- **The floor is ~97% dead** at the median — and **~4,300 ha (≈5% of the farm) has a majority-green floor**. A refugia map.","4,300",majority-green; green floor; refugia; floor,N,N,stale,floor_claim,N
docs/Tier2_TaskM_deck_evidence_audit.md,23,"This task was triggered by an interpretation failure. A claim (""~4,300 ha staying majority-green","4,300",majority-green,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit.md,27,"reproduce: `veg_p05 >= 50` over focus pixels is **40,935.8 ha**, not ~4,300 ha, and the companion","40,935",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit.md,27,"reproduce: `veg_p05 >= 50` over focus pixels is **40,935.8 ha**, not ~4,300 ha, and the companion","4,300",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit.md,124,"""~4,300 ha staying majority-green as refugia"" — **does not reproduce.** Recorded here so it is","4,300",majority-green; refugia,N,Y,marked,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit.md,129,"| `veg_p05 >= 50`, focus pixels (the claim as literally worded) | 40,935.8 ha |","40,935",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit.md,130,"| `veg_p05 >= 80`, focus pixels | 4,179.3 ha |","4,179",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit.md,131,"| `veg_p05 >= 50`, Riverine only | 4,084.1 ha |","4,084",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,11,"| 3 | **Gate A extended:** locate the artefact behind ~6,460 ha, and inventory every hectare claim about the floor variable across docs and the deck. | The number is in git on branch `fix-refugia-changelog`. | §A.6, §A.7 |","6,460",refugia; floor,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,36,"This task was triggered by an interpretation failure. A claim (""~4,300 ha staying majority-green","4,300",majority-green,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,40,"reproduce: `veg_p05 >= 50` over focus pixels is **40,935.8 ha**, not ~4,300 ha, and the companion","40,935",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,40,"reproduce: `veg_p05 >= 50` over focus pixels is **40,935.8 ha**, not ~4,300 ha, and the companion","4,300",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,64,"was corrected to read *""~6,460 ha has a majority-green floor (native 30 m grid; supersedes the","6,460",majority-green; green floor; floor,N,Y,marked,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,163,"#### 1.5.1 Claim A — ""~4,300 ha staying majority-green as refugia""","4,300",majority-green; refugia,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,171,"| `veg_p05 >= 50`, focus pixels (**the claim as literally worded**) | **40,935.8 ha** |","40,935",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,172,"| `veg_p05 >= 80`, focus pixels | 4,179.3 ha |","4,179",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,173,"| `veg_p05 >= 50`, Riverine only | 4,084.1 ha |","4,084",veg_p05,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,179,"#### 1.5.2 Claim B — ""~6,460 ha has a majority-green floor (native 30 m grid)""","6,460",majority-green; green floor; floor,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,184,"""Majority-green floor"" means `veg_p05 >= 50`. On the census that is 40,935.8 ha. Claim B is","40,935",majority-green; green floor; veg_p05; floor,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,192,"So ~6,460 ha may be correct for *something*, but the chain from it to ""majority-green floor"" is","6,460",majority-green; green floor; floor,N,N,stale,floor_claim,Y
docs/Tier2_TaskM_deck_evidence_audit_v2.md,624,"- **D9 (new)** — the ~6,460 ha supersession pushed as `e87bd1a` on `fix-refugia-changelog`.","6,460",refugia,N,N,stale,floor_claim,Y
docs/change_reports/taskH_ondisk_audit_2026-07-20.md,11,"3. **D3 partially closed** — the refugia ""~4,300 ha majority-green"" table is **not reproducible from the parquet** (needs paired green-at-floor over the >50 MB FC cube). Committed the existing farm-level floor *distribution* instead (Option B). True closure is a scoped step in the next H2 build (see Gate C).","4,300",majority-green; refugia; floor,N,N,stale,floor_claim,N
docs/change_reports/taskH_ondisk_audit_2026-07-20.md,93,"| **C2 refugia (Option B)** | `census_green_at_floor_farm_distribution.csv` | Farm-level floor **distribution** (3 rows: total-veg, PV, green-fraction at the floor season; green-fraction median 3.03 / mean 11.77 / p95 55.56, n = 959,833). **This is NOT the ~4,300 ha refugia count.** |","4,300",refugia; floor,N,N,stale,floor_claim,N
docs/change_reports/taskH_ondisk_audit_2026-07-20.md,99,"**D3 closure path (not this task).** The refugia ""~4,300 ha majority-green (total + by-community)"" requires a **paired** green-fraction-at-floor per pixel (facts §11 — percentiles do not subtract), whose only source is the >50 MB `fc_intermediate` FC cube (out of scope here; a one-off recompute was explicitly declined). **Real closure = a scoped step in the next H2 build: persist a per-pixel green-at-floor product on the census grid; the refugia table then becomes reproducible and registerable.** D3 stays open until then.","4,300",majority-green; refugia; floor,N,N,stale,floor_claim,N
docs/change_reports/taskI_deck_stocktake_20260717.md,83,"4. **The floor is ~97% dead at the median**, but **~4,300 ha (≈5% of the farm) has a majority-green floor** — a refugia map, probably better than the median (facts §9).","4,300",majority-green; green floor; refugia; floor,N,N,stale,floor_claim,N
docs/change_reports/tier2H_all_pixel_census_20260715.md,346,"**Verdict: a lake.** Water is persistent FC nodata → too few valid seasons → correctly NA. Not a claypan (would be dry, low inundation), not an artefact (coherent 347 ha feature). **The `MIN_SEASONS` threshold has a second job**, now recorded in the code: beyond making `p05` a percentile (n ≥ 40), it **stops the product fabricating a veg floor over open water**. Table shipped as `tier2H_h2_blob_probe.csv`.",347,floor,N,N,stale,floor_claim,N
scripts/05_ground_cover/02_build_total_veg_percentile_rasters.R,92,"##        floor. Verified on the ~347 ha lake at (8,999,545, 4,349,484): 91.4%",347,floor,N,N,stale,floor_claim,N
